"SECONDS";"PID";"VALUE";"UNITS";
"42900.6063951";"Fuel used (Week)";"2.1043139999999996";"L";
"42900.6063951";"Fuel used price";"0.00018804500464003593";"€";
"42900.6063951";"Fuel used price (Today)";"0.022639649999999997";"€";
"42900.6063951";"Fuel used price (total)";"4.3818225";"€";
"42900.6063951";"Fuel used price (Week)";"3.4721180999999994";"€";
"42900.6063951";"Instant engine power (based on fuel consumption)";"2.2534813602003143";"hp";
"42900.6063951";"MAF air flow rate";"1.71";"g/sec";
"42900.6063951";"Power from MAF";"2.052";"hp";
"42900.6864728";"Average speed";"0";"km/h";
"42900.6864728";"Distance travelled";"0";"km";
"42900.6864728";"Distance travelled (Today)";"0";"km";
"42900.6864728";"Distance travelled (total)";"41.43032000000001";"km";
"42900.6864728";"Distance travelled (Week)";"32.364709";"km";
"42900.6864728";"Vehicle acceleration";"0";"g";
"42900.6864728";"Vehicle speed";"0";"km/h";
"42900.737217";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42900.8193776";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42900.8193776";"Throttle position";"18.431372549019606";"%";
"42900.8627668";"Average fuel consumption (total)";"6.41001807371992";"L/100km";
"42900.8627668";"Average fuel consumption (Week)";"6.502005007985704";"L/100km";
"42900.8627668";"Calculated instant fuel rate";"0.5726456490076886";"L/h";
"42900.8627668";"Fuel used";"0.000154744352567234";"L";
"42900.8627668";"Fuel used (Today)";"0.013762";"L";
"42900.8627668";"Fuel used (total)";"2.6556909999999996";"L";
"42900.8627668";"Fuel used (Week)";"2.1043549999999995";"L";
"42900.8627668";"Fuel used price";"0.00025532818173593607";"€";
"42900.8627668";"Fuel used price (Today)";"0.022707299999999996";"€";
"42900.8627668";"Fuel used price (total)";"4.38189015";"€";
"42900.8627668";"Fuel used price (Week)";"3.4721857499999995";"€";
"42900.8627668";"Instant engine power (based on fuel consumption)";"2.2403031066318917";"hp";
"42900.8627668";"MAF air flow rate";"1.7";"g/sec";
"42900.8627668";"Power from MAF";"2.04";"hp";
"42900.9009184";"Average speed";"0";"km/h";
"42900.9009184";"Distance travelled";"0";"km";
"42900.9009184";"Distance travelled (Today)";"0";"km";
"42900.9009184";"Distance travelled (total)";"41.43032000000001";"km";
"42900.9009184";"Distance travelled (Week)";"32.364709";"km";
"42900.9009184";"Vehicle acceleration";"0";"g";
"42900.9009184";"Vehicle speed";"0";"km/h";
"42900.9498589";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42901.0325679";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42901.0325679";"Throttle position";"18.431372549019606";"%";
"42901.083325";"Average fuel consumption (total)";"6.410102552912937";"L/100km";
"42901.083325";"Average fuel consumption (Week)";"6.502113150468925";"L/100km";
"42901.083325";"Calculated instant fuel rate";"0.5726456490076886";"L/h";
"42901.083325";"Fuel used";"0.00019004167363324248";"L";
"42901.083325";"Fuel used (Today)";"0.013796999999999999";"L";
"42901.083325";"Fuel used (total)";"2.6557259999999996";"L";
"42901.083325";"Fuel used (Week)";"2.1043899999999995";"L";
"42901.083325";"Fuel used price";"0.0003135687614948501";"€";
"42901.083325";"Fuel used price (Today)";"0.02276505";"€";
"42901.083325";"Fuel used price (total)";"4.3819479";"€";
"42901.083325";"Fuel used price (Week)";"3.4722434999999994";"€";
"42901.083325";"Instant engine power (based on fuel consumption)";"2.2403031066318917";"hp";
"42901.083325";"MAF air flow rate";"1.7";"g/sec";
"42901.083325";"Power from MAF";"2.04";"hp";
"42901.1358874";"Average speed";"0";"km/h";
"42901.1358874";"Distance travelled";"0";"km";
"42901.1358874";"Distance travelled (Today)";"0";"km";
"42901.1358874";"Distance travelled (total)";"41.43032000000001";"km";
"42901.1358874";"Distance travelled (Week)";"32.364709";"km";
"42901.1358874";"Vehicle acceleration";"0";"g";
"42901.1358874";"Vehicle speed";"0";"km/h";
"42901.178163";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42901.2628214";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42901.2628214";"Throttle position";"18.431372549019606";"%";
"42901.3023329";"Average fuel consumption (total)";"6.410187032105952";"L/100km";
"42901.3023329";"Average fuel consumption (Week)";"6.502221292952147";"L/100km";
"42901.3023329";"Calculated instant fuel rate";"0.5760141528253808";"L/h";
"42901.3023329";"Fuel used";"0.00022486592127453787";"L";
"42901.3023329";"Fuel used (Today)";"0.013831999999999999";"L";
"42901.3023329";"Fuel used (total)";"2.6557609999999996";"L";
"42901.3023329";"Fuel used (Week)";"2.1044249999999995";"L";
"42901.3023329";"Fuel used price";"0.0003710287701029875";"€";
"42901.3023329";"Fuel used price (Today)";"0.022822799999999997";"€";
"42901.3023329";"Fuel used price (total)";"4.38200565";"€";
"42901.3023329";"Fuel used price (Week)";"3.4723012499999997";"€";
"42901.3023329";"Instant engine power (based on fuel consumption)";"2.2534813602003143";"hp";
"42901.3023329";"MAF air flow rate";"1.71";"g/sec";
"42901.3023329";"Power from MAF";"2.052";"hp";
"42901.3444465";"Average speed";"0";"km/h";
"42901.3444465";"Distance travelled";"0";"km";
"42901.3444465";"Distance travelled (Today)";"0";"km";
"42901.3444465";"Distance travelled (total)";"41.43032000000001";"km";
"42901.3444465";"Distance travelled (Week)";"32.364709";"km";
"42901.3444465";"Vehicle acceleration";"0";"g";
"42901.3444465";"Vehicle speed";"0";"km/h";
"42901.3868261";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42901.4582053";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42901.4582053";"Throttle position";"18.431372549019606";"%";
"42901.5050545";"Average fuel consumption (total)";"6.410264270225283";"L/100km";
"42901.5050545";"Average fuel consumption (Week)";"6.502320166079663";"L/100km";
"42901.5050545";"Calculated instant fuel rate";"0.5726456490076886";"L/h";
"42901.5050545";"Fuel used";"0.00025711969434336486";"L";
"42901.5050545";"Fuel used (Today)";"0.013864";"L";
"42901.5050545";"Fuel used (total)";"2.6557929999999996";"L";
"42901.5050545";"Fuel used (Week)";"2.1044569999999996";"L";
"42901.5050545";"Fuel used price";"0.000424247495666552";"€";
"42901.5050545";"Fuel used price (Today)";"0.022875599999999996";"€";
"42901.5050545";"Fuel used price (total)";"4.382058450000001";"€";
"42901.5050545";"Fuel used price (Week)";"3.4723540499999994";"€";
"42901.5050545";"Instant engine power (based on fuel consumption)";"2.2403031066318917";"hp";
"42901.5050545";"MAF air flow rate";"1.7";"g/sec";
"42901.5050545";"Power from MAF";"2.04";"hp";
"42901.5471963";"Average speed";"0";"km/h";
"42901.5471963";"Distance travelled";"0";"km";
"42901.5471963";"Distance travelled (Today)";"0";"km";
"42901.5471963";"Distance travelled (total)";"41.43032000000001";"km";
"42901.5471963";"Distance travelled (Week)";"32.364709";"km";
"42901.5471963";"Vehicle acceleration";"0";"g";
"42901.5471963";"Vehicle speed";"0";"km/h";
"42901.5850523";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42901.6707708";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42901.6707708";"Throttle position";"18.431372549019606";"%";
"42901.7212735";"Average fuel consumption (total)";"6.410348749418298";"L/100km";
"42901.7212735";"Average fuel consumption (Week)";"6.502428308562885";"L/100km";
"42901.7212735";"Calculated instant fuel rate";"0.5760141528253808";"L/h";
"42901.7212735";"Fuel used";"0.00029170816019143705";"L";
"42901.7212735";"Fuel used (Today)";"0.013899";"L";
"42901.7212735";"Fuel used (total)";"2.6558279999999996";"L";
"42901.7212735";"Fuel used (Week)";"2.1044919999999996";"L";
"42901.7212735";"Fuel used price";"0.0004813184643158711";"€";
"42901.7212735";"Fuel used price (Today)";"0.022933349999999998";"€";
"42901.7212735";"Fuel used price (total)";"4.3821162000000005";"€";
"42901.7212735";"Fuel used price (Week)";"3.4724117999999997";"€";
"42901.7212735";"Instant engine power (based on fuel consumption)";"2.2534813602003143";"hp";
"42901.7212735";"MAF air flow rate";"1.71";"g/sec";
"42901.7212735";"Power from MAF";"2.052";"hp";
"42901.7629768";"Average speed";"0";"km/h";
"42901.7629768";"Distance travelled";"0";"km";
"42901.7629768";"Distance travelled (Today)";"0";"km";
"42901.7629768";"Distance travelled (total)";"41.43032000000001";"km";
"42901.7629768";"Distance travelled (Week)";"32.364709";"km";
"42901.7629768";"Vehicle acceleration";"0";"g";
"42901.7629768";"Vehicle speed";"0";"km/h";
"42901.802606";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42901.8855586";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42901.8855586";"Throttle position";"18.431372549019606";"%";
"42901.9362954";"Average fuel consumption (total)";"6.410430814920085";"L/100km";
"42901.9362954";"Average fuel consumption (Week)";"6.502533361260871";"L/100km";
"42901.9362954";"Calculated instant fuel rate";"0.5726456490076886";"L/h";
"42901.9362954";"Fuel used";"0.00032591322330925774";"L";
"42901.9362954";"Fuel used (Today)";"0.013933";"L";
"42901.9362954";"Fuel used (total)";"2.6558619999999995";"L";
"42901.9362954";"Fuel used (Week)";"2.1045259999999995";"L";
"42901.9362954";"Fuel used price";"0.0005377568184602753";"€";
"42901.9362954";"Fuel used price (Today)";"0.022989449999999998";"€";
"42901.9362954";"Fuel used price (total)";"4.382172300000001";"€";
"42901.9362954";"Fuel used price (Week)";"3.4724678999999994";"€";
"42901.9362954";"Instant engine power (based on fuel consumption)";"2.2403031066318917";"hp";
"42901.9362954";"MAF air flow rate";"1.7";"g/sec";
"42901.9362954";"Power from MAF";"2.04";"hp";
"42901.965329";"Average speed";"0";"km/h";
"42901.965329";"Distance travelled";"0";"km";
"42901.965329";"Distance travelled (Today)";"0";"km";
"42901.965329";"Distance travelled (total)";"41.43032000000001";"km";
"42901.965329";"Distance travelled (Week)";"32.364709";"km";
"42901.965329";"Vehicle acceleration";"0";"g";
"42901.965329";"Vehicle speed";"0";"km/h";
"42902.0142507";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42902.1064079";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42902.1064079";"Throttle position";"18.431372549019606";"%";
"42902.1548218";"Average fuel consumption (total)";"6.410515294113101";"L/100km";
"42902.1548218";"Average fuel consumption (Week)";"6.502641503744092";"L/100km";
"42902.1548218";"Calculated instant fuel rate";"0.5760141528253808";"L/h";
"42902.1548218";"Fuel used";"0.0003608780824054151";"L";
"42902.1548218";"Fuel used (Today)";"0.013968";"L";
"42902.1548218";"Fuel used (total)";"2.6558969999999995";"L";
"42902.1548218";"Fuel used (Week)";"2.1045609999999995";"L";
"42902.1548218";"Fuel used price";"0.0005954488359689349";"€";
"42902.1548218";"Fuel used price (Today)";"0.023047199999999997";"€";
"42902.1548218";"Fuel used price (total)";"4.38223005";"€";
"42902.1548218";"Fuel used price (Week)";"3.4725256499999997";"€";
"42902.1548218";"Instant engine power (based on fuel consumption)";"2.2534813602003143";"hp";
"42902.1548218";"MAF air flow rate";"1.71";"g/sec";
"42902.1548218";"Power from MAF";"2.052";"hp";
"42902.1949448";"Average speed";"0";"km/h";
"42902.1949448";"Distance travelled";"0";"km";
"42902.1949448";"Distance travelled (Today)";"0";"km";
"42902.1949448";"Distance travelled (total)";"41.43032000000001";"km";
"42902.1949448";"Distance travelled (Week)";"32.364709";"km";
"42902.1949448";"Vehicle acceleration";"0";"g";
"42902.1949448";"Vehicle speed";"0";"km/h";
"42902.2432862";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42902.3250844";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42902.3250844";"Throttle position";"18.431372549019606";"%";
"42902.3743448";"Average fuel consumption (total)";"6.410599773306117";"L/100km";
"42902.3743448";"Average fuel consumption (Week)";"6.502749646227314";"L/100km";
"42902.3743448";"Calculated instant fuel rate";"0.5760141528253808";"L/h";
"42902.3743448";"Fuel used";"0.0003960048654800889";"L";
"42902.3743448";"Fuel used (Today)";"0.014003";"L";
"42902.3743448";"Fuel used (total)";"2.6559319999999995";"L";
"42902.3743448";"Fuel used (Week)";"2.1045959999999995";"L";
"42902.3743448";"Fuel used price";"0.0006534080280421467";"€";
"42902.3743448";"Fuel used price (Today)";"0.023104949999999996";"€";
"42902.3743448";"Fuel used price (total)";"4.3822878";"€";
"42902.3743448";"Fuel used price (Week)";"3.4725833999999995";"€";
"42902.3743448";"Instant engine power (based on fuel consumption)";"2.2534813602003143";"hp";
"42902.3743448";"MAF air flow rate";"1.71";"g/sec";
"42902.3743448";"Power from MAF";"2.052";"hp";
"42902.4242218";"Average speed";"0";"km/h";
"42902.4242218";"Distance travelled";"0";"km";
"42902.4242218";"Distance travelled (Today)";"0";"km";
"42902.4242218";"Distance travelled (total)";"41.43032000000001";"km";
"42902.4242218";"Distance travelled (Week)";"32.364709";"km";
"42902.4242218";"Vehicle acceleration";"0";"g";
"42902.4242218";"Vehicle speed";"0";"km/h";
"42902.4749386";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42902.5651809";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42902.5651809";"Throttle position";"18.431372549019606";"%";
"42902.605347";"Average fuel consumption (total)";"6.4106890798815925";"L/100km";
"42902.605347";"Average fuel consumption (Week)";"6.502863968281006";"L/100km";
"42902.605347";"Calculated instant fuel rate";"0.5726456490076886";"L/h";
"42902.605347";"Fuel used";"0.00043274421963806386";"L";
"42902.605347";"Fuel used (Today)";"0.014039999999999999";"L";
"42902.605347";"Fuel used (total)";"2.655969";"L";
"42902.605347";"Fuel used (Week)";"2.1046329999999998";"L";
"42902.605347";"Fuel used price";"0.0007140279624028053";"€";
"42902.605347";"Fuel used price (Today)";"0.023165999999999996";"€";
"42902.605347";"Fuel used price (total)";"4.3823488500000005";"€";
"42902.605347";"Fuel used price (Week)";"3.4726444499999993";"€";
"42902.605347";"Instant engine power (based on fuel consumption)";"2.2403031066318917";"hp";
"42902.605347";"MAF air flow rate";"1.7";"g/sec";
"42902.605347";"Power from MAF";"2.04";"hp";
"42902.652788";"Average speed";"0";"km/h";
"42902.652788";"Distance travelled";"0";"km";
"42902.652788";"Distance travelled (Today)";"0";"km";
"42902.652788";"Distance travelled (total)";"41.43032000000001";"km";
"42902.652788";"Distance travelled (Week)";"32.364709";"km";
"42902.652788";"Vehicle acceleration";"0";"g";
"42902.652788";"Vehicle speed";"0";"km/h";
"42902.6886434";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42902.7768644";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42902.7768644";"Throttle position";"18.431372549019606";"%";
"42902.8232075";"Average fuel consumption (total)";"6.410771145383379";"L/100km";
"42902.8232075";"Average fuel consumption (Week)";"6.502969020978993";"L/100km";
"42902.8232075";"Calculated instant fuel rate";"0.5625401375546116";"L/h";
"42902.8232075";"Fuel used";"0.00046679322717886623";"L";
"42902.8232075";"Fuel used (Today)";"0.014074";"L";
"42902.8232075";"Fuel used (total)";"2.6560029999999997";"L";
"42902.8232075";"Fuel used (Week)";"2.1046669999999996";"L";
"42902.8232075";"Fuel used price";"0.0007702088248451292";"€";
"42902.8232075";"Fuel used price (Today)";"0.023222099999999996";"€";
"42902.8232075";"Fuel used price (total)";"4.382404950000001";"€";
"42902.8232075";"Fuel used price (Week)";"3.4727005499999994";"€";
"42902.8232075";"Instant engine power (based on fuel consumption)";"2.200768345926623";"hp";
"42902.8232075";"MAF air flow rate";"1.67";"g/sec";
"42902.8232075";"Power from MAF";"2.004";"hp";
"42902.8637386";"Average speed";"0";"km/h";
"42902.8637386";"Distance travelled";"0";"km";
"42902.8637386";"Distance travelled (Today)";"0";"km";
"42902.8637386";"Distance travelled (total)";"41.43032000000001";"km";
"42902.8637386";"Distance travelled (Week)";"32.364709";"km";
"42902.8637386";"Vehicle acceleration";"0";"g";
"42902.8637386";"Vehicle speed";"0";"km/h";
"42902.9017845";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42902.9910761";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42902.9910761";"Throttle position";"18.431372549019606";"%";
"42903.037697";"Average fuel consumption (total)";"6.410855624576396";"L/100km";
"42903.037697";"Average fuel consumption (Week)";"6.503077163462214";"L/100km";
"42903.037697";"Calculated instant fuel rate";"0.5827511604607654";"L/h";
"42903.037697";"Fuel used";"0.0005015111941269445";"L";
"42903.037697";"Fuel used (Today)";"0.014109";"L";
"42903.037697";"Fuel used (total)";"2.6560379999999997";"L";
"42903.037697";"Fuel used (Week)";"2.1047019999999996";"L";
"42903.037697";"Fuel used price";"0.0008274934703094584";"€";
"42903.037697";"Fuel used price (Today)";"0.023279849999999998";"€";
"42903.037697";"Fuel used price (total)";"4.3824627000000005";"€";
"42903.037697";"Fuel used price (Week)";"3.4727582999999993";"€";
"42903.037697";"Instant engine power (based on fuel consumption)";"2.2798378673371604";"hp";
"42903.037697";"MAF air flow rate";"1.73";"g/sec";
"42903.037697";"Power from MAF";"2.076";"hp";
"42903.0822685";"Average speed";"0";"km/h";
"42903.0822685";"Distance travelled";"0";"km";
"42903.0822685";"Distance travelled (Today)";"0";"km";
"42903.0822685";"Distance travelled (total)";"41.43032000000001";"km";
"42903.0822685";"Distance travelled (Week)";"32.364709";"km";
"42903.0822685";"Vehicle acceleration";"0";"g";
"42903.0822685";"Vehicle speed";"0";"km/h";
"42903.1259553";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42903.2102027";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42903.2102027";"Throttle position";"18.431372549019606";"%";
"42903.2498809";"Average fuel consumption (total)";"6.410937690078183";"L/100km";
"42903.2498809";"Average fuel consumption (Week)";"6.5031822161602";"L/100km";
"42903.2498809";"Calculated instant fuel rate";"0.5760141528253808";"L/h";
"42903.2498809";"Fuel used";"0.0005354565721741734";"L";
"42903.2498809";"Fuel used (Today)";"0.014143";"L";
"42903.2498809";"Fuel used (total)";"2.6560719999999995";"L";
"42903.2498809";"Fuel used (Week)";"2.1047359999999995";"L";
"42903.2498809";"Fuel used price";"0.0008835033440873861";"€";
"42903.2498809";"Fuel used price (Today)";"0.023335949999999998";"€";
"42903.2498809";"Fuel used price (total)";"4.382518800000001";"€";
"42903.2498809";"Fuel used price (Week)";"3.4728143999999994";"€";
"42903.2498809";"Instant engine power (based on fuel consumption)";"2.2534813602003143";"hp";
"42903.2498809";"MAF air flow rate";"1.71";"g/sec";
"42903.2498809";"Power from MAF";"2.052";"hp";
"42903.2904052";"Average speed";"0";"km/h";
"42903.2904052";"Distance travelled";"0";"km";
"42903.2904052";"Distance travelled (Today)";"0";"km";
"42903.2904052";"Distance travelled (total)";"41.43032000000001";"km";
"42903.2904052";"Distance travelled (Week)";"32.364709";"km";
"42903.2904052";"Vehicle acceleration";"0";"g";
"42903.2904052";"Vehicle speed";"0";"km/h";
"42903.3298989";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42903.4215386";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42903.4215386";"Throttle position";"18.431372549019606";"%";
"42903.4571512";"Average fuel consumption (total)";"6.41101734188874";"L/100km";
"42903.4571512";"Average fuel consumption (Week)";"6.503284179072952";"L/100km";
"42903.4571512";"Calculated instant fuel rate";"0.5726456490076886";"L/h";
"42903.4571512";"Fuel used";"0.0005684286814892097";"L";
"42903.4571512";"Fuel used (Today)";"0.014176";"L";
"42903.4571512";"Fuel used (total)";"2.6561049999999997";"L";
"42903.4571512";"Fuel used (Week)";"2.1047689999999997";"L";
"42903.4571512";"Fuel used price";"0.000937907324457196";"€";
"42903.4571512";"Fuel used price (Today)";"0.0233904";"€";
"42903.4571512";"Fuel used price (total)";"4.38257325";"€";
"42903.4571512";"Fuel used price (Week)";"3.4728688499999993";"€";
"42903.4571512";"Instant engine power (based on fuel consumption)";"2.2403031066318917";"hp";
"42903.4571512";"MAF air flow rate";"1.7";"g/sec";
"42903.4571512";"Power from MAF";"2.04";"hp";
"42903.4979651";"Average speed";"0";"km/h";
"42903.4979651";"Distance travelled";"0";"km";
"42903.4979651";"Distance travelled (Today)";"0";"km";
"42903.4979651";"Distance travelled (total)";"41.43032000000001";"km";
"42903.4979651";"Distance travelled (Week)";"32.364709";"km";
"42903.4979651";"Vehicle acceleration";"0";"g";
"42903.4979651";"Vehicle speed";"0";"km/h";
"42903.5421687";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42903.6309524";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42903.6309524";"Throttle position";"18.431372549019606";"%";
"42903.6570143";"Average fuel consumption (total)";"6.41109458000807";"L/100km";
"42903.6570143";"Average fuel consumption (Week)";"6.503383052200468";"L/100km";
"42903.6570143";"Calculated instant fuel rate";"0.5726456490076886";"L/h";
"42903.6570143";"Fuel used";"0.0006002167186703341";"L";
"42903.6570143";"Fuel used (Today)";"0.014207999999999998";"L";
"42903.6570143";"Fuel used (total)";"2.6561369999999997";"L";
"42903.6570143";"Fuel used (Week)";"2.1048009999999997";"L";
"42903.6570143";"Fuel used price";"0.000990357585806051";"€";
"42903.6570143";"Fuel used price (Today)";"0.023443199999999997";"€";
"42903.6570143";"Fuel used price (total)";"4.38262605";"€";
"42903.6570143";"Fuel used price (Week)";"3.4729216499999995";"€";
"42903.6570143";"Instant engine power (based on fuel consumption)";"2.2403031066318917";"hp";
"42903.6570143";"MAF air flow rate";"1.7";"g/sec";
"42903.6570143";"Power from MAF";"2.04";"hp";
"42903.7066609";"Average speed";"0";"km/h";
"42903.7066609";"Distance travelled";"0";"km";
"42903.7066609";"Distance travelled (Today)";"0";"km";
"42903.7066609";"Distance travelled (total)";"41.43032000000001";"km";
"42903.7066609";"Distance travelled (Week)";"32.364709";"km";
"42903.7066609";"Vehicle acceleration";"0";"g";
"42903.7066609";"Vehicle speed";"0";"km/h";
"42903.7488849";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42903.8328008";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42903.8328008";"Throttle position";"18.431372549019606";"%";
"42903.8774756";"Average fuel consumption (total)";"6.4111814728923155";"L/100km";
"42903.8774756";"Average fuel consumption (Week)";"6.5034942844689265";"L/100km";
"42903.8774756";"Calculated instant fuel rate";"0.5827511604607654";"L/h";
"42903.8774756";"Fuel used";"0.0006359133190672129";"L";
"42903.8774756";"Fuel used (Today)";"0.014244";"L";
"42903.8774756";"Fuel used (total)";"2.656173";"L";
"42903.8774756";"Fuel used (Week)";"2.104837";"L";
"42903.8774756";"Fuel used price";"0.0010492569764609012";"€";
"42903.8774756";"Fuel used price (Today)";"0.0235026";"€";
"42903.8774756";"Fuel used price (total)";"4.38268545";"€";
"42903.8774756";"Fuel used price (Week)";"3.4729810499999996";"€";
"42903.8774756";"Instant engine power (based on fuel consumption)";"2.2798378673371604";"hp";
"42903.8774756";"MAF air flow rate";"1.73";"g/sec";
"42903.8774756";"Power from MAF";"2.076";"hp";
"42903.9219331";"Average speed";"0";"km/h";
"42903.9219331";"Distance travelled";"0";"km";
"42903.9219331";"Distance travelled (Today)";"0";"km";
"42903.9219331";"Distance travelled (total)";"41.43032000000001";"km";
"42903.9219331";"Distance travelled (Week)";"32.364709";"km";
"42903.9219331";"Vehicle acceleration";"0";"g";
"42903.9219331";"Vehicle speed";"0";"km/h";
"42903.9544508";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42904.0279016";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
